,energy,energy error,energy chi,energy chi error,PAM1 distance,PAM1 distance error,PAM1 distance chi,PAM1 distance chi error,Hamm distance,Hamm distance error,Hamm distance chi,Hamm distance chi error,block_size,used_mutations,discarded_mutations,T,gamma,length
0,0.0033629448070243754,0.0004888570776681436,13.970688511473815,3.3050937951081414,0.5771673845702067,0.009733604529120213,0.0,0.0,0.6293227678571428,0.010598324159101684,0.0,0.0,20000.0,480000.0,240000.0,0.0008,0.0,56.0
1,0.005115572337415,0.001008237963598197,10.270502829575507,4.0756563435347966,0.5912048058479569,0.005457942368264039,0.0,0.0,0.6603232142857145,0.005825423455362172,0.0,0.0,20000.0,40000.0,80000.0,0.0011,0.0,56.0
2,0.019898826603701663,0.0009289976297648012,23.37281367784512,5.5566197988217985,0.6351484624555849,0.006043719703152146,0.0,0.0,0.6969898065476192,0.006654275847702586,0.0,0.0,20000.0,480000.0,120000.0,0.0016,0.0,56.0
3,0.03542945905797778,0.0015814434503061009,26.67093942965766,7.357645037242551,0.6494913463061104,0.007275516821758822,0.0,0.0,0.7157462301587302,0.007522112351001594,0.0,0.0,20000.0,360000.0,80000.0,0.0021,0.0,56.0
4,0.04352458389773478,0.0018570587102397652,35.13609257663012,7.611713540743035,0.6700629460927551,0.006478191696063932,0.0,0.0,0.7367977096273294,0.007032487339383757,0.0,0.0,20000.0,460000.0,200000.0,0.0024,0.0,56.0
5,0.07367741040060492,0.0012354755141850205,25.42265452595157,6.037018766433617,0.7238554668401033,0.003768413163873912,0.0,0.0,0.7890999846059114,0.003614312754189312,0.0,0.0,20000.0,1160000.0,180000.0,0.0032,0.0,56.0
6,0.10370470301400166,0.004394027520102928,23.62244470879275,8.959775264261099,0.7543831281559599,0.0076474652029677155,0.0,0.0,0.8211052083333333,0.007956146329909073,0.0,0.0,20000.0,240000.0,30000.0,0.0048,0.0,56.0
7,0.1559508997008854,0.0037004309167229634,16.277275777500858,7.500511279871421,0.8012595991386676,0.005471883819646929,0.0,0.0,0.8646473214285714,0.0060804177352734076,0.0,0.0,20000.0,240000.0,30000.0,0.0064,0.0,56.0
8,0.17471135050499573,0.004996918405387017,16.30429076323605,7.412512362529519,0.8082274460093158,0.005390051460622442,0.0,0.0,0.8723057397959184,0.0052231147978627716,0.0,0.0,20000.0,280000.0,20000.0,0.008,0.0,56.0
9,0.1990991227436691,0.005042864938934502,15.667436815528893,6.631833698553783,0.8210829463527692,0.004676311138518709,0.0,0.0,0.8840913149350649,0.004738858160259292,0.0,0.0,20000.0,220000.0,20000.0,0.0096,0.0,56.0
10,0.3136145020215615,0.018524827824351275,86.31415197871516,13.267499695639904,0.8530871179639786,0.005152320115582674,0.0,0.0,0.9128495323129252,0.004435879039569367,0.0,0.0,20000.0,420000.0,20000.0,0.0116,0.0,56.0
11,0.43168494811263214,0.01811442422573997,40.83444745255124,12.435002995593472,0.8786329212229477,0.004988149145263425,0.0,0.0,0.9342173363095236,0.004630506733633136,0.0,0.0,20000.0,240000.0,20000.0,0.0136,0.0,56.0
12,0.4850478105222506,0.002052710096007943,6.397129902891328,3.6493845077111065,0.8904055694345104,0.0015434454989565025,0.0,0.0,0.9449092532467532,0.0015081341926544707,0.0,0.0,20000.0,220000.0,20000.0,0.0171,0.0,56.0
