,energy,energy error,energy chi,energy chi error,PAM1 distance,PAM1 distance error,PAM1 distance chi,PAM1 distance chi error,Hamm distance,Hamm distance error,Hamm distance chi,Hamm distance chi error,block,block_size,used_mutations,discarded_mutations,T,gamma,length
0,0.00017608374330000003,0.0,1.0224101599855155,0.0,0.5482062883283702,0.0,0.0,0.0,0.6159517857142857,0.0,0.0,0.0,1,20000,480000,240000,0.0008,0.0,56.0
1,0.0018258251822924996,0.0011665433587160492,5.806731639720119,3.6997167937538498,0.5479421287136808,0.00018678905486756606,0.0,0.0,0.6132245535714286,0.0019284443420860174,0.0,0.0,2,20000,480000,240000,0.0008,0.0,56.0
2,0.003296839131276666,0.0014308733098548217,17.95472164693106,5.901598512989636,0.5364796721991311,0.00935988495116587,0.0,0.0,0.5987613095238095,0.01187896441711703,0.0,0.0,3,20000,480000,240000,0.0008,0.0,56.0
3,0.0038671363598774995,0.0011813512656882463,17.02619277788343,5.483167267873861,0.5550923262087153,0.01758130699076694,0.0,0.0,0.6152441964285714,0.0168267177599898,0.0,0.0,4,20000,480000,240000,0.0008,0.0,56.0
4,0.004550665587902,0.0011255877952139842,16.541030507080304,5.545420868616284,0.5764708790884008,0.02373730241846979,0.0,0.0,0.6350524999999999,0.022250926000278767,0.0,0.0,5,20000,480000,240000,0.0008,0.0,56.0
5,0.005024507967834167,0.0010329232405190884,15.661900078107793,5.454417319985342,0.5908154962456477,0.023722662274644975,0.0,0.0,0.6482580357142856,0.02211659627079035,0.0,0.0,6,20000,480000,240000,0.0008,0.0,56.0
6,0.005193468192704287,0.0008990754045204065,14.450459715455011,5.1256134291938,0.5964616369666788,0.02099486983305403,0.0,0.0,0.6530658163265305,0.019472637834389375,0.0,0.0,7,20000,480000,240000,0.0008,0.0,56.0
7,0.005324722484519376,0.0007962141196623128,13.480393458505787,4.850691293410815,0.595214498668974,0.01840751512049461,0.0,0.0,0.650153013392857,0.01725503783289606,0.0,0.0,8,20000,480000,240000,0.0008,0.0,56.0
8,0.005185585590725,0.000719800182954075,12.579613266900761,4.613394415596033,0.5999985512787831,0.016972533621877083,0.0,0.0,0.6534223214285713,0.015644463447617808,0.0,0.0,9,20000,480000,240000,0.0008,0.0,56.0
9,0.0050842446747534995,0.0006549152226535368,11.747936588536282,4.401267277247045,0.6024858780156103,0.015456464727686383,0.0,0.0,0.6546818749999999,0.014130630180430124,0.0,0.0,10,20000,480000,240000,0.0008,0.0,56.0
10,0.005154685773217273,0.0005991537365672289,11.573333389984287,4.225216136124763,0.6005560658937221,0.01417129254463423,0.0,0.0,0.6528295454545453,0.012966866437943229,0.0,0.0,11,20000,480000,240000,0.0008,0.0,56.0
11,0.005070649029040833,0.0005550864310966314,10.939001622107535,4.067927592804119,0.5990901753802779,0.013065948013378332,0.0,0.0,0.651633482142857,0.011941329244584306,0.0,0.0,12,20000,480000,240000,0.0008,0.0,56.0
12,0.004731215318405769,0.0006073659994079872,12.522678516915544,4.115112871611831,0.5962121513040851,0.012373785795740099,0.0,0.0,0.6481155219780218,0.011529327763060183,0.0,0.0,13,20000,480000,240000,0.0008,0.0,56.0
13,0.004444109191472143,0.0006281867377675715,13.547994019320111,4.085107044529606,0.5917879847153635,0.012255365060498798,0.0,0.0,0.6423780612244896,0.012049123803439178,0.0,0.0,14,20000,480000,240000,0.0008,0.0,56.0
14,0.004184716853777666,0.0006376169592434755,14.296161703025463,4.028836016560258,0.5882541770373532,0.011936955869202338,0.0,0.0,0.637696726190476,0.012121180702581197,0.0,0.0,15,20000,480000,240000,0.0008,0.0,56.0
15,0.004065134791879688,0.0006088761762765684,14.4033090363296,3.906916632689822,0.5870257740776489,0.011253924608805988,0.0,0.0,0.6358231584821428,0.011507494381277045,0.0,0.0,16,20000,480000,240000,0.0008,0.0,56.0
16,0.0038364347382750003,0.0006145117651468516,14.920167257513219,3.8468790969901314,0.5818807407271184,0.011709107128118526,0.0,0.0,0.6303991071428571,0.012041231335930498,0.0,0.0,17,20000,480000,240000,0.0008,0.0,56.0
17,0.0037045360754525006,0.0005943590327176253,14.888991342888273,3.750486736209566,0.5777180826703316,0.011775301730835219,0.0,0.0,0.6266317956349206,0.011947082198153382,0.0,0.0,18,20000,480000,240000,0.0008,0.0,56.0
18,0.003706340326954211,0.0005630797168734402,14.29941933027535,3.653970449079585,0.5759356318607959,0.011289649558187904,0.0,0.0,0.6245897086466164,0.011491487787589062,0.0,0.0,19,20000,480000,240000,0.0008,0.0,56.0
19,0.0037620724057145006,0.0005376767607871179,13.903928449869374,3.5796906828102215,0.5737245277829077,0.010939549400271503,0.0,0.0,0.6221565625,0.011171534733699778,0.0,0.0,20,20000,480000,240000,0.0008,0.0,56.0
20,0.0036638773323340486,0.000520962553351132,13.929787040300145,3.499054916342597,0.5719462417104487,0.010562164860220208,0.0,0.0,0.6207554846938775,0.010727055174744145,0.0,0.0,21,20000,480000,240000,0.0008,0.0,56.0
21,0.0035337734166365916,0.0005132713131599939,14.067767748323291,3.435041753290454,0.5728015313280995,0.010116636469650699,0.0,0.0,0.6223778003246753,0.010361411723865524,0.0,0.0,22,20000,480000,240000,0.0008,0.0,56.0
22,0.0033966174442439136,0.0005089507207937801,14.239157406765367,3.3773045924537515,0.5751435438062867,0.00994417753409597,0.0,0.0,0.6260612965838509,0.010545353129849186,0.0,0.0,23,20000,480000,240000,0.0008,0.0,56.0
23,0.0033629448070243754,0.0004888570776681436,13.970688511473815,3.3050937951081414,0.5771673845702067,0.009733604529120213,0.0,0.0,0.6293227678571428,0.010598324159101684,0.0,0.0,24,20000,480000,240000,0.0008,0.0,56.0
